REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tp493314246825071.wav	 /tmp/tp493314265236795.wav	 0.920	 1.143	 16000	nb
/tmp/tp493320812336730.wav	 /tmp/tp493320816846478.wav	 0.444	 1.071	 16000	nb
/tmp/tp493512911784135.wav	 /tmp/tp493512931292277.wav	 0.920	 1.143	 16000	nb
/tmp/tp493518711924876.wav	 /tmp/tp493518715444644.wav	 0.428	 1.069	 16000	nb
/tmp/tp493567288755587.wav	 /tmp/tp493567291247310.wav	 0.295	 1.057	 16000	nb
/tmp/tp493616064445214.wav	 /tmp/tp493616065183192.wav	 0.566	 1.085	 16000	nb
/tmp/tp493666690654512.wav	 /tmp/tp493666692041012.wav	 0.311	 1.058	 16000	nb
/tmp/tp493715467882118.wav	 /tmp/tp493715468749382.wav	 1.056	 1.174	 16000	nb
/tmp/tp493765479138576.wav	 /tmp/tp493765479824088.wav	 0.329	 1.060	 16000	nb
/tmp/tp493811316231154.wav	 /tmp/tp493811316946642.wav	 0.900	 1.139	 16000	nb
/tmp/tp495667942009696.wav	 /tmp/tp495667957913809.wav	 1.021	 1.166	 16000	nb
/tmp/tp495672732496270.wav	 /tmp/tp495672734736502.wav	 0.928	 1.145	 16000	nb
/tmp/tp499470254015558.wav	 /tmp/tp499470257771557.wav	 0.770	 1.115	 16000	nb
/tmp/tp503190884972971.wav	 /tmp/tp503190886038560.wav	 0.762	 1.114	 16000	nb
/tmp/tp510969053829977.wav	 /tmp/tp510969073328447.wav	 0.920	 1.143	 16000	nb
/tmp/tp510974461422532.wav	 /tmp/tp510974464548526.wav	 1.008	 1.163	 16000	nb
/tmp/tp511068017772141.wav	 /tmp/tp511068021296080.wav	 0.941	 1.148	 16000	nb
/tmp/tp511154437523915.wav	 /tmp/tp511154438787152.wav	 1.087	 1.182	 16000	nb
/tmp/tp511241007475350.wav	 /tmp/tp511241009652150.wav	 0.823	 1.124	 16000	nb
/tmp/tp511327298195507.wav	 /tmp/tp511327299064024.wav	 0.948	 1.149	 16000	nb
/tmp/tp511423810630282.wav	 /tmp/tp511423811392091.wav	 1.039	 1.170	 16000	nb
/tmp/tp511516356610526.wav	 /tmp/tp511516357708705.wav	 0.960	 1.152	 16000	nb
/tmp/tp511609097713562.wav	 /tmp/tp511609098397622.wav	 0.967	 1.153	 16000	nb
/tmp/tp511703239843944.wav	 /tmp/tp511703240373483.wav	 0.986	 1.158	 16000	nb
/tmp/tp511798475754096.wav	 /tmp/tp511798476541964.wav	 0.036	 1.039	 16000	nb
/tmp/tp511887594590039.wav	 /tmp/tp511887616098680.wav	 0.037	 1.039	 16000	nb
/tmp/tp511978950892508.wav	 /tmp/tp511978974923606.wav	 0.037	 1.039	 16000	nb
/tmp/tp512070021108564.wav	 /tmp/tp512070035537304.wav	 0.036	 1.039	 16000	nb
/tmp/tp512159116713493.wav	 /tmp/tp512159145287232.wav	 0.037	 1.039	 16000	nb
/tmp/tp618664798358066.wav	 /tmp/tp618664821883438.wav	 0.666	 1.099	 16000	nb
/tmp/tp618673892768988.wav	 /tmp/tp618673895427337.wav	 0.735	 1.109	 16000	nb
/tmp/tp618760959860136.wav	 /tmp/tp618760963178624.wav	 0.921	 1.144	 16000	nb
/tmp/tp621014963903092.wav	 /tmp/tp621014983274157.wav	 4.272	 4.394	 16000	nb
/tmp/tp621020906127539.wav	 /tmp/tp621020908591436.wav	 2.544	 2.189	 16000	nb
/tmp/tp621120270066268.wav	 /tmp/tp621120273427404.wav	 2.870	 2.632	 16000	nb
/tmp/tp621218115245139.wav	 /tmp/tp621218115912825.wav	 3.348	 3.339	 16000	nb
/tmp/tp621315824675713.wav	 /tmp/tp621315826021038.wav	 3.363	 3.360	 16000	nb
/tmp/tp621408593257775.wav	 /tmp/tp621408594084866.wav	 3.303	 3.273	 16000	nb
/tmp/tp622195966420634.wav	 /tmp/tp622196007563806.wav	 4.369	 4.464	 16000	nb
/tmp/tp622201789034747.wav	 /tmp/tp622201792343884.wav	 3.953	 4.106	 16000	nb
/tmp/tp622434754256934.wav	 /tmp/tp622434757043533.wav	 3.960	 4.113	 16000	nb
/tmp/tp622646648001066.wav	 /tmp/tp622646648696512.wav	 3.958	 4.112	 16000	nb
/tmp/tp622856640707752.wav	 /tmp/tp622856641715388.wav	 3.966	 4.119	 16000	nb
/tmp/tp623054077955775.wav	 /tmp/tp623054078736911.wav	 3.966	 4.120	 16000	nb
/tmp/tp624332156373562.wav	 /tmp/tp624332172149941.wav	 4.369	 4.464	 16000	nb
/tmp/tp624338167109399.wav	 /tmp/tp624338170345178.wav	 2.740	 2.448	 16000	nb
